t_s,ax_g,ay_g,az_g
0.000,0.01389,-0.02023,1.01565
0.010,-0.01282,-0.00082,0.99377
0.020,0.02318,-0.02666,1.03055
0.030,0.02717,-0.01391,0.97981
0.040,-0.03047,-0.00436,0.96638
0.050,-0.01731,-0.00778,0.96142
0.060,0.01148,0.01533,1.01590
0.070,0.00279,-0.01383,0.98608
0.080,0.00897,-0.04834,0.99719
0.090,-0.00757,-0.03253,1.02189
0.100,0.02727,0.00096,1.00657
0.110,0.02542,-0.01029,0.97628
0.120,0.01137,-0.02315,1.03248
0.130,0.03279,0.04088,0.99418
0.140,0.01978,0.01842,0.99874
0.150,-0.00657,0.00081,0.98574
0.160,0.01818,0.00677,0.97769
0.170,-0.00819,-0.00306,1.00461
0.180,0.02875,-0.02271,0.97117
0.190,0.01037,0.02312,0.99834
0.200,0.00786,0.01966,1.03171
0.210,-0.00188,-0.03678,1.01503
0.220,0.03638,0.00742,1.00406
0.230,0.00902,0.00976,0.97803
0.240,0.00373,-0.00328,0.99879
0.250,0.00544,0.04523,0.98408
0.260,0.02332,0.04319,1.02884
0.270,0.02017,-0.00400,0.99052
0.280,0.02130,-0.00078,0.98428
0.290,0.02185,-0.00300,0.99565
0.300,0.05625,-0.00829,0.98437
0.310,0.00547,-0.01435,1.00471
0.320,0.00354,0.01433,1.03643
0.330,-0.00231,0.04355,1.00014
0.340,0.02647,0.03545,0.98154
0.350,0.03692,0.02036,0.99684
0.360,0.01224,-0.04343,0.97458
0.370,-0.00210,-0.03245,1.05747
0.380,-0.00160,0.02625,1.03602
0.390,0.02808,0.03748,1.02494
0.400,0.03012,0.01630,1.01503
0.410,0.02630,-0.00076,0.99669
0.420,0.00231,0.03252,0.99713
0.430,0.02044,0.02068,0.99559
0.440,0.01832,0.02848,1.04754
0.450,0.02054,-0.03127,0.99616
0.460,0.03377,0.01285,0.98872
0.470,0.02100,0.04160,0.99791
0.480,0.03028,0.01679,1.01034
0.490,0.01824,0.02533,0.93035
0.500,0.02285,0.00722,1.00787
0.510,0.02987,0.00874,0.94915
0.520,-0.01172,0.03479,1.02944
0.530,0.01121,-0.00653,0.96552
0.540,0.00837,-0.00836,0.98394
0.550,0.00518,-0.00245,0.96166
0.560,0.01263,0.00771,1.03602
0.570,0.04821,-0.02484,0.99975
0.580,0.00117,0.02211,1.04453
0.590,0.03803,0.00432,1.03976
0.600,-0.01482,0.02480,1.02499
0.610,0.01232,-0.03453,0.97197
0.620,0.02244,0.02513,1.00331
0.630,0.03109,0.03484,1.02732
0.640,0.03376,0.01699,1.00778
0.650,0.03558,0.00894,0.99260
0.660,0.01291,0.02577,1.00703
0.670,0.01081,0.03401,1.00895
0.680,0.03739,0.01916,0.97046
0.690,0.01657,0.02077,0.98866
0.700,-0.00495,0.04208,1.01306
0.710,-0.00193,0.02428,1.01749
0.720,0.00252,-0.00683,1.00487
0.730,0.03102,0.03463,0.99184
0.740,0.02409,0.00694,0.99616
0.750,0.03522,0.01020,0.98491
0.760,0.01304,0.01179,0.99792
0.770,0.02492,0.02915,1.01700
0.780,0.03443,0.04486,1.04856
0.790,0.01589,0.01049,0.97592
0.800,0.03138,0.04474,1.02534
0.810,0.00917,0.01352,1.00766
0.820,0.01531,0.03839,0.96798
0.830,0.01511,0.01443,0.99805
0.840,-0.00101,0.00073,0.99636
0.850,0.03280,0.04913,0.99997
0.860,0.01384,-0.00095,1.02096
0.870,0.02364,-0.00218,1.03950
